,Molecule List Name,Molecule,Formula,Adduct,Precursor Charge,PrecursorMz,Product Charge,CCS
3995,Other,Inosine 5'-Diphosphate,C10H14N4O11P2,[M+Na]+,1.0,451.0027,1.0,183.8
2145,Other,Inosine triphosphate,C10H15N4O14P3,[M+H]+,1.0,508.9871,1.0,192.6
2146,Other,Inosine triphosphate,C10H15N4O14P3,[M+Na]+,1.0,530.9691,1.0,196.6
3887,Other,Inosinic Acid,C10H13N4O8P,[M+H]+,1.0,349.0544,1.0,175.4
3888,Other,Inosinic Acid,C10H13N4O8P,[M+Na]+,1.0,371.0364,1.0,171.7
3642,Other,Inositol,C6H12O6,[M+Na]+,1.0,203.0527,1.0,149.8
2060,Other,Isocitrate,C6H8O7,[M+Na]+,1.0,215.0163,1.0,144.2
2088,AminoAcids,Isoleucine,C6H13NO2,[M+H]+,1.0,132.1019,1.0,134.3
2091,AminoAcids,Isoleucine,C6H13NO2,[M+Na]+,1.0,154.0839,1.0,138.0
2092,AminoAcids,Isoleucine,C6H13NO2,[M+NH4]+,1.0,149.1285,1.0,136.1
2093,AminoAcids,Isoleucine,C6H13NO2,[M-H2O+H]+,1.0,114.0913,1.0,126.6
1153,Other,Isomaltose,C12H22O11,[M+Na]+,1.0,365.1055,1.0,178.0
2328,Other,Itaconate,C5H6O4,[M+Na]+,1.0,153.0159,1.0,132.1
929,Other,Kynurenic Acid,C10H7NO3,[M+H]+,1.0,190.0499,1.0,137.8
930,Other,Kynurenic Acid,C10H7NO3,[M+Na]+,1.0,212.0319,1.0,152.2
2219,Other,L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid,C10H12N2O3,[M+H]+,1.0,209.0921,1.0,149.3
2220,Other,L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid,C10H12N2O3,[M+Na]+,1.0,231.0741,1.0,152.9
2344,AminoAcids,L-Alanine,C3H7NO2,[M+H]+,1.0,90.055,1.0,124.8
2345,AminoAcids,L-Alanine,C3H7NO2,[M+Na]+,1.0,112.037,1.0,128.6
2346,AminoAcids,L-Alanine,C3H7NO2,[M+NH4]+,1.0,107.0816,1.0,126.9
2347,AminoAcids,L-Alanine,C3H7NO2,[M-H2O+H]+,1.0,72.0444,1.0,120.4
5165,Other,L-Anserine,C10H16N4O3,[M+H]+,1.0,241.1295,1.0,154.6
5166,Other,L-Anserine,C10H16N4O3,[M+Na]+,1.0,263.1115,1.0,157.7
2283,Other,L-Arabinose,C5H10O5,[M+Na]+,1.0,173.0421,1.0,141.9
2116,AminoAcids,L-Arginine,C6H14N4O2,[M+H]+,1.0,175.119,1.0,136.5
2117,AminoAcids,L-Arginine,C6H14N4O2,[M+Na]+,1.0,197.101,1.0,148.5
2121,AminoAcids,L-Arginine,C6H14N4O2,[M+NH4]+,1.0,192.1456,1.0,146.0
2122,AminoAcids,L-Arginine,C6H14N4O2,[M-H2O+H]+,1.0,157.1084,1.0,132.2
2248,AminoAcids,L-Aspartic Acid,C4H7NO4,[M+H]+,1.0,134.0448,1.0,131.7
2249,AminoAcids,L-Aspartic Acid,C4H7NO4,[M-H2O+H]+,1.0,116.0342,1.0,127.6
2250,AminoAcids,L-Aspartic Acid,C4H7NO4,[M+NH4]+,1.0,151.0714,1.0,135.5
2251,AminoAcids,L-Aspartic Acid,C4H7NO4,[M+Na]+,1.0,156.0268,1.0,136.6
2210,Other,L-Citrulline,C6H13N3O3,[M+H]+,1.0,176.103,1.0,137.7
2049,Other,L-Cystathionine,C7H14N2O4S,[M+H]+,1.0,223.0747,1.0,147.3
2050,Other,L-Cystathionine,C7H14N2O4S,[M+Na]+,1.0,245.0567,1.0,147.3
2228,AminoAcids,L-Cysteine,C3H7NO2S,[M+Na]+,1.0,144.009,1.0,151.3
2230,AminoAcids,L-Cysteine,C3H7NO2S,[M+H]+,1.0,122.027,1.0,133.7
2232,AminoAcids,L-Cysteine,C3H7NO2S,[M+NH4]+,1.0,139.0536,1.0,145.8
2233,AminoAcids,L-Cysteine,C3H7NO2S,[M-H2O+H]+,1.0,104.0164,1.0,130.5
