Group 1,Group 2,Metabolite,U_stat,raw_p_value,corrected_p_value,Significant
PosLow,NegHigh,N2-Acetyl-L-ornithine [[M+H]],73.5,0.6658224841450883,0.9147841179282452,False
PosLow,NegHigh,Nicotinamide [[M+H]],82.0,0.3401043685615802,0.7782641534971719,False
PosLow,NegHigh,Oleic acid [[M+Na]],64.0,0.9264448963254215,1.0,False
PosLow,NegHigh,P-Hydroxybenzoic Acid [[M-H2O+H]],64.5,0.950912471242483,1.0,False
PosLow,NegHigh,Palatinose [[M+K]],77.0,0.48556680733988,0.8727588314055371,False
PosLow,NegHigh,Phenylethyl alcohol [[M+H]],83.0,0.3098652593617933,0.7571739248224143,False
PosLow,NegHigh,Pidolic Acid [[M+H]],117.0,0.0018831973747520166,0.08393679727466132,False
PosLow,NegHigh,Proline [[M+NH4]],52.0,0.39163816085684633,0.8045527013412473,False
PosLow,NegHigh,Sucrose [[M+K]],86.0,0.20365151932995262,0.7432157756691988,False
PosLow,NegHigh,Thymine [[M+H]],79.0,0.4417022877906004,0.8613194611916708,False
PosLow,NegHigh,Trehalose [[M+K]],77.0,0.48556680733988,0.8727588314055371,False
PosLow,NegHigh,Xanthurenic acid [[M+H]],52.0,0.37881966019963587,0.7932331139750765,False
PosLow,NegHigh,d-Desthiobiotin [[M+Na]],82.0,0.33962670098673486,0.7782641534971719,False
PosLow,NegHigh,gamma-Glutamylcysteine [[M+H]],49.0,0.3098652593617933,0.7571739248224143,False
None,PosHigh,2'-Deoxyguanosine-5'-Diphosphate [[M+H]],52.0,0.8602588271965479,0.9831529453674833,False
None,PosHigh,2'-Deoxyguanosine-5'-Monophosphate [[M+H]],49.0,0.6985353583033387,0.9147841179282452,False
None,PosHigh,2'-Deoxyuridine [[M+Na]],58.0,0.8602588271965479,0.9831529453674833,False
None,PosHigh,5'-Deoxy-5'-Methylthioadenosine [[M+H]],40.5,0.31864424516615997,0.7647461883987838,False
None,PosHigh,ATP [[M+H]],67.0,0.412690663955103,0.8300119808406436,False
None,PosHigh,Acetyl coenzyme A (Acetyl-CoA) [[M+H]],67.5,0.384820773523065,0.8004272089279751,False
None,PosHigh,Ademetionine [[M+H]],65.0,0.5033760993250637,0.8727588314055371,False
None,PosHigh,Adenine [[M+H]],56.0,0.9719131339533064,1.0,False
None,PosHigh,Adenosine 5'-diphosphate (ADP) [[M+H]],52.0,0.8602588271965479,0.9831529453674833,False
None,PosHigh,Adenosine phosphate [[M+H]],40.0,0.3072263700681952,0.7571739248224143,False
None,PosHigh,Adenosine-3'-5'-Diphosphate [[M+H]],54.0,0.9719131339533064,1.0,False
