Name,Monoisotopic Mass,InChI Key,Chemical Formula,CCS Type,Adduct Type,Data Source / Predictor,m/z,CCS Value (Å²),Reference
Histidine,155.069476547,[M+Na]+,Predicted,DeepCCS,178.058694547,134.06,30932474,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+H]+,Predicted,AllCCS,156.07675254699998,134.4,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+H-H2O]+,Predicted,AllCCS,138.066187547,130.1,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+NH4]+,Predicted,AllCCS,173.103299547,138.5,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+Na]+,Predicted,AllCCS,178.058694547,139.6,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M-H]-,Predicted,AllCCS,154.062200547,129.3,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+Na-2H]-,Predicted,AllCCS,176.04414254699998,130.7,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Histidine,155.069476547,[M+HCOO]-,Predicted,AllCCS,200.067677547,132.2,32859911,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C6H9N3O2
Isoleucine,131.094628665,[M+H]+,Predicted,DarkChem,132.10190466499998,130.723,31661259,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M-H]-,Predicted,DarkChem,130.087352665,127.123,31661259,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+H]+,Predicted,AllCCS,132.10190466499998,132.342,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M-H]-,Predicted,AllCCS,130.087352665,129.058,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+H]+,Predicted,DeepCCS,132.10190466499998,131.217,30932474,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M-H]-,Predicted,DeepCCS,130.087352665,127.39,30932474,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M-2H]-,Predicted,DeepCCS,65.0436763325,164.848,30932474,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+Na]+,Predicted,DeepCCS,154.08384666499998,140.386,30932474,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+H]+,Predicted,AllCCS,132.10190466499998,132.3,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+H-H2O]+,Predicted,AllCCS,114.09133966499999,128.2,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+NH4]+,Predicted,AllCCS,149.128451665,136.2,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+Na]+,Predicted,AllCCS,154.08384666499998,137.3,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M-H]-,Predicted,AllCCS,130.087352665,129.1,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+Na-2H]-,Predicted,AllCCS,152.06929466499997,131.9,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
Isoleucine,131.094628665,[M+HCOO]-,Predicted,AllCCS,176.09282966499998,135.0,32859911,AGPKZVBTJJNPAG-WHFBIAKZSA-N,C6H13NO2
