	HMDB
YMDB00839	HMDB12188
YMDB00840	
YMDB00842	HMDB06839
YMDB00843	HMDB01278
YMDB00844	HMDB12282
YMDB00846	HMDB00169
YMDB00847	
YMDB00848	
YMDB00849	HMDB00168
YMDB00850	
YMDB00852	HMDB00968
YMDB00853	
YMDB00855	
YMDB00856	
YMDB00857	HMDB00237
YMDB00858	HMDB00816
YMDB00860	
YMDB00861	HMDB00192
YMDB00862	
YMDB00864	HMDB06353
YMDB00865	
YMDB00866	
YMDB00867	
YMDB00868	
YMDB00869	HMDB00055
YMDB00870	
YMDB00871	HMDB00536
YMDB00872	HMDB01375
YMDB00873	
YMDB00877	
YMDB00878	
YMDB00879	HMDB01354
YMDB00880	HMDB01066
YMDB00881	HMDB00757
YMDB00882	HMDB06901
YMDB00884	HMDB00673
YMDB00885	HMDB00262
YMDB00886	HMDB00192
YMDB00887	HMDB00034
YMDB00888	HMDB03125
YMDB00889	HMDB01431
YMDB00890	HMDB02111
YMDB00891	HMDB00209
YMDB00892	HMDB02134
YMDB00893	HMDB00646
YMDB00894	HMDB00169
YMDB00895	HMDB00048
YMDB00896	HMDB00191
YMDB00897	HMDB11600
YMDB00898	HMDB00960
YMDB00899	HMDB00985
YMDB00900	HMDB01377
YMDB00901	HMDB01508
YMDB00902	HMDB01060
YMDB00903	HMDB03411
YMDB00904	HMDB03402
YMDB00905	
YMDB00906	HMDB00258
YMDB00907	HMDB01429
YMDB00908	HMDB01039
YMDB00909	HMDB06526
YMDB00910	HMDB03335
YMDB00911	HMDB03366
YMDB00912	HMDB01967
YMDB00913	HMDB03417
YMDB00914	HMDB01341
YMDB00915	HMDB12299
YMDB00916	HMDB01245
YMDB00917	
YMDB00918	HMDB02104
YMDB00927	HMDB01513
YMDB00928	HMDB05176
YMDB00934	HMDB01445
YMDB00935	HMDB11673
YMDB00937	
YMDB00940	HMDB01196
YMDB00941	
YMDB00946	HMDB03529
YMDB00947	HMDB01401
YMDB00948	HMDB00618
YMDB00953	HMDB12146
YMDB00958	HMDB00707
YMDB00959	
YMDB00960	
YMDB00961	HMDB00963
YMDB00963	
YMDB00964	
YMDB00966	HMDB01078
YMDB00967	
YMDB00968	
YMDB00970	HMDB01586
YMDB00971	
YMDB00972	
YMDB00973	
YMDB00976	
YMDB00977	
YMDB00978	HMDB00379
YMDB00980	HMDB00988
YMDB00981	HMDB02878
YMDB00982	HMDB03378
YMDB00983	
YMDB00984	HMDB12482
YMDB00986	HMDB00897
YMDB00987	HMDB03178
YMDB00990	HMDB03423
YMDB00991	
YMDB00993	HMDB01310
YMDB00994	HMDB02520
YMDB00995	HMDB00159
YMDB00996	
YMDB00997	HMDB00687
YMDB00998	HMDB13609
YMDB00999	HMDB00510
YMDB01000	
YMDB01001	HMDB01645
YMDB01098	
YMDB01099	
YMDB01100	
YMDB01101	HMDB04610
YMDB01154	
YMDB01573	HMDB00422
YMDB01575	HMDB03331
YMDB01582	
YMDB01584	
YMDB01633	HMDB00206
YMDB01675	HMDB05960
YMDB01702	HMDB01514
YMDB01725	HMDB00715
YMDB01757	HMDB06029
YMDB01758	HMDB00766
YMDB01774	HMDB00779
YMDB01783	
YMDB01807	HMDB00881
YMDB02299	HMDB00139
YMDB02300	HMDB00640
YMDB02301	HMDB01870
YMDB02302	HMDB02259
YMDB02303	HMDB02322
YMDB02304	HMDB02923
YMDB02305	HMDB05826
YMDB02306	HMDB12228
YMDB02307	
YMDB02308	
YMDB02309	
YMDB02310	
YMDB02311	
YMDB02312	
YMDB02313	
YMDB02314	
YMDB02315	
YMDB02316	
YMDB02317	
YMDB02318	HMDB00746
YMDB02319	
YMDB02320	
YMDB02321	
YMDB02322	
YMDB02323	
YMDB15903	
YMDB15904	
YMDB15905	
YMDB15906	
YMDB15907	
YMDB15908	
YMDB15909	
YMDB15910	
YMDB15911	
YMDB15912	
YMDB15913	
YMDB15914	
YMDB15915	
YMDB15916	
YMDB15917	
YMDB15918	
YMDB15919	
YMDB15920	
YMDB15921	
YMDB15922	
YMDB15923	
YMDB15924	
YMDB15925	
YMDB15926	
YMDB15927	
YMDB15928	
YMDB15929	
YMDB15930	
YMDB15931	
YMDB15932	
YMDB15933	
YMDB15934	
YMDB15935	
YMDB15936	
YMDB15937	
YMDB15938	
YMDB15939	
YMDB15940	
YMDB15941	
YMDB15942	
YMDB15943	
YMDB15944	
YMDB15945	
YMDB15946	
YMDB15947	
YMDB15948	
YMDB15949	
YMDB15950	
YMDB15951	
YMDB15952	
YMDB15953	
YMDB15954	
YMDB15955	
YMDB15956	
YMDB15957	
YMDB15958	
YMDB15959	
YMDB15960	
YMDB15961	
YMDB15962	
YMDB15963	
YMDB15964	
YMDB15965	
YMDB15966	
YMDB15967	
YMDB15968	
YMDB15969	
YMDB15970	
YMDB15971	
YMDB15972	
YMDB15973	
YMDB15974	
YMDB15975	
YMDB15976	
YMDB15977	
YMDB15978	
YMDB15979	
YMDB15980	
YMDB15981	
YMDB15982	
YMDB15983	
YMDB15984	
YMDB15985	
YMDB15986	
YMDB15987	
YMDB15988	
YMDB15989	
YMDB15990	
YMDB15991	
YMDB15992	
YMDB15993	
YMDB15994	
YMDB15995	
YMDB15996	
YMDB15997	
YMDB15998	
YMDB15999	
YMDB16000	
YMDB16001	
YMDB16002	
YMDB16003	
YMDB16004	
YMDB16005	
YMDB16006	
YMDB16007	
YMDB16008	
YMDB16009	
YMDB16010	
YMDB16011	
YMDB16012	
YMDB16013	
YMDB16014	
YMDB16015	
YMDB16016	
YMDB16017	
YMDB16018	
YMDB16019	
YMDB16020	
YMDB16021	
YMDB16022	
YMDB16023	
YMDB16024	
YMDB16025	
YMDB16026	
YMDB16027	
YMDB16028	
YMDB16029	
YMDB16030	
YMDB16031	
YMDB16032	
YMDB16033	
YMDB16034	
YMDB16035	
YMDB16036	
YMDB16037	
YMDB16038	
YMDB16039	
YMDB16040	
YMDB16041	
YMDB16042	
YMDB16043	
YMDB16044	
YMDB16045	
YMDB16046	
YMDB16047	
YMDB16048	
YMDB16049	
YMDB16050	
YMDB16051	
YMDB16052	
YMDB16053	
YMDB16054	
YMDB16055	
YMDB16056	
YMDB16057	
YMDB16058	
YMDB16059	
YMDB16060	
YMDB16061	
YMDB16062	
YMDB16063	
YMDB16064	
YMDB16065	
YMDB16066	
YMDB16067	
YMDB16068	
YMDB16069	
YMDB16070	
YMDB16071	
YMDB16072	
YMDB16073	
YMDB16074	
YMDB16075	
YMDB16076	
YMDB16077	
YMDB16078	
YMDB16079	
YMDB16080	
YMDB16081	
YMDB16082	
