,Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
297,CCS Compendium-8,Kynurenine,C10H12N2O3,[M+Na]+,1.0,231.0737,1.0,153.3
298,CCS Compendium-6,Proline,C5H9NO2,[M+H]+,1.0,116.0706,1.0,125.8
300,CCS Compendium-78,Proline,C5H9NO2,[M+H]+,1.0,116.0703,1.0,125.4
302,CCS Compendium-8,Thiamine pyrophosphate,C12H18N4O7P2S,[M+H]+,1.0,425.0434,1.0,182.0
303,CCS Compendium-8,Thiamine pyrophosphate,C12H18N4O7P2S,[M+Na]+,1.0,447.0265,1.0,187.0
304,CCS Compendium-7,Gluconic acid,C6H12O7,[M+H]+,1.0,197.0661,1.0,141.0
306,CCS Compendium-78,Gluconic acid,C6H12O7,[M+Na]+,1.0,219.0488,1.0,146.9
309,CCS Compendium-6,Leucine,C6H13NO2,[M+H]+,1.0,132.1019,1.0,135.1
310,CCS Compendium-47,Leucine,C6H13NO2,[M+H]+,1.0,132.1024,1.0,134.7
313,CCS Compendium-7,,C7H8O5,[M+H]+,1.0,173.045,1.0,131.9
315,CCS Compendium-8,,C7H8O5,[M+Na]+,1.0,195.0245,1.0,149.2
317,CCS Compendium-8,Pyridoxal,C8H9NO3,[M+H]+,1.0,168.0654,1.0,131.3
318,CCS Compendium-8,Pyridoxal,C8H9NO3,[M+Na]+,1.0,190.0465,1.0,142.7
320,CCS Compendium-7,Orotic acid,C5H4N2O4,[M+H]+,1.0,157.0249,1.0,138.0
321,CCS Compendium-7,Orotic acid,C5H4N2O4,[M+Na]+,1.0,179.0069,1.0,180.7
325,CCS Compendium-78,Cytidine monophosphate,C9H14N3O8P,[M+H]+,1.0,324.0578,1.0,167.1
326,CCS Compendium-78,Cytidine monophosphate,C9H14N3O8P,[M+Na]+,1.0,346.0393,1.0,168.7
328,CCS Compendium-8,NADPH,C21H30N7O17P3,[M+H]+,1.0,746.0989,1.0,232.4
332,CCS Compendium-8,,C21H28N7O17P3,[M+H]+,1.0,744.0791,1.0,232.7
333,CCS Compendium-8,,C21H28N7O17P3,[M+K]+,1.0,782.026,1.0,242.9
334,CCS Compendium-8,,C21H28N7O17P3,[M+Na]+,1.0,766.0609,1.0,241.1
338,CCS Compendium-78,Deoxyadenosine monophosphate,C10H14N5O6P,[M+H]+,1.0,332.076,1.0,168.6
339,CCS Compendium-78,Deoxyadenosine monophosphate,C10H14N5O6P,[M+Na]+,1.0,354.0579,1.0,173.9
341,CCS Compendium-8,Hydroxyphenyllactic acid,C9H10O4,[M+Na]+,1.0,205.0462,1.0,144.0
343,CCS Compendium-8,4-Acetamidobutanoic acid,C6H11NO3,[M+Na]+,1.0,168.0612,1.0,135.7
344,CCS Compendium-8,p-Aminobenzoic acid,C7H7NO2,[M+H]+,1.0,138.0559,1.0,127.3
348,CCS Compendium-8,Deoxyadenosine,C10H13N5O3,[M+H]+,1.0,252.1096,1.0,152.3
349,CCS Compendium-8,Deoxyadenosine,C10H13N5O3,[M+H]+,1.0,252.1096,1.0,158.2
350,CCS Compendium-8,Deoxyadenosine,C10H13N5O3,[M+Na]+,1.0,274.0912,1.0,161.9
