,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
5813,YMDB00686,HMDB0001142,YTNIXZGTHTVJBW-SCRDCRAPSA-N,FMNH2,C17H23N4O9P,476.154087866,[M+NH4]+,201.6,32859911.0,Predicted,AllCCS
5814,YMDB00686,HMDB0001142,YTNIXZGTHTVJBW-SCRDCRAPSA-N,FMNH2,C17H23N4O9P,481.109482866,[M+Na]+,202.2,32859911.0,Predicted,AllCCS
5816,YMDB00686,HMDB0001142,YTNIXZGTHTVJBW-SCRDCRAPSA-N,FMNH2,C17H23N4O9P,479.094930866,[M+Na-2H]-,195.6,32859911.0,Predicted,AllCCS
5817,YMDB00686,HMDB0001142,YTNIXZGTHTVJBW-SCRDCRAPSA-N,FMNH2,C17H23N4O9P,503.118465866,[M+HCOO]-,196.2,32859911.0,Predicted,AllCCS
5820,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,219.097547568,[M+H]+,151.1,31661259.0,Predicted,DarkChem
5821,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,217.082995568,[M-H]-,147.4,31661259.0,Predicted,DarkChem
5822,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,219.097547568,[M+H]+,149.4,30932474.0,Predicted,DeepCCS
5823,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,217.082995568,[M-H]-,147.0,30932474.0,Predicted,DeepCCS
5824,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,108.541497784,[M-2H]-,180.1,30932474.0,Predicted,DeepCCS
5825,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,241.079489568,[M+Na]+,155.4,30932474.0,Predicted,DeepCCS
5826,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,219.097547568,[M+H]+,149.1,32859911.0,Predicted,AllCCS
5827,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,201.086982568,[M+H-H2O]+,145.7,32859911.0,Predicted,AllCCS
5828,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,236.124094568,[M+NH4]+,152.3,32859911.0,Predicted,AllCCS
5829,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,241.079489568,[M+Na]+,153.2,32859911.0,Predicted,AllCCS
5830,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,217.082995568,[M-H]-,146.3,32859911.0,Predicted,AllCCS
5831,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,239.064937568,[M+Na-2H]-,147.2,32859911.0,Predicted,AllCCS
5832,YMDB00691,HMDB06248,WQXXXVRAFAKQJM-WHFBIAKZSA-N,gamma-Glutamylalanine,C8H14N2O5,263.088472568,[M+HCOO]-,148.3,32859911.0,Predicted,AllCCS
5835,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,118.049869095,[M+H]+,125.8,31661259.0,Predicted,DarkChem
5836,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,116.035317095,[M-H]-,119.1,31661259.0,Predicted,DarkChem
5837,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,118.049869095,[M+H]+,120.4,30932474.0,Predicted,DeepCCS
5838,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,116.035317095,[M-H]-,116.7,30932474.0,Predicted,DeepCCS
5839,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,58.0176585475,[M-2H]-,154.0,30932474.0,Predicted,DeepCCS
5840,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,140.031811095,[M+Na]+,129.1,30932474.0,Predicted,DeepCCS
5841,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,118.049869095,[M+H]+,128.8,32859911.0,Predicted,AllCCS
5842,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,100.039304095,[M+H-H2O]+,124.6,32859911.0,Predicted,AllCCS
5843,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,135.076416095,[M+NH4]+,132.8,32859911.0,Predicted,AllCCS
5844,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,140.031811095,[M+Na]+,133.9,32859911.0,Predicted,AllCCS
5845,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,116.035317095,[M-H]-,120.8,32859911.0,Predicted,AllCCS
5846,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,138.017259095,[M+Na-2H]-,124.0,32859911.0,Predicted,AllCCS
5847,YMDB00695,HMDB06454,SAUCHDKDCUROAO-VKHMYHEASA-N,L-2-Amino-3-oxobutanoic acid,C4H7NO3,162.040794095,[M+HCOO]-,127.6,32859911.0,Predicted,AllCCS
5848,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,237.108980652,[M+H]+,154.3,31661259.0,Predicted,DarkChem
5849,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,235.094428652,[M-H]-,150.9,31661259.0,Predicted,DarkChem
5850,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,237.108980652,[M+H]+,155.1,30932474.0,Predicted,DeepCCS
5851,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,235.094428652,[M-H]-,151.4,30932474.0,Predicted,DeepCCS
5852,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,117.547214326,[M-2H]-,189.0,30932474.0,Predicted,DeepCCS
5853,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,259.090922652,[M+Na]+,164.4,30932474.0,Predicted,DeepCCS
5854,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,237.108980652,[M+H]+,151.3,32859911.0,Predicted,AllCCS
5855,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,219.098415652,[M+H-H2O]+,148.1,32859911.0,Predicted,AllCCS
5856,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,254.135527652,[M+NH4]+,154.2,32859911.0,Predicted,AllCCS
5857,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,259.090922652,[M+Na]+,155.1,32859911.0,Predicted,AllCCS
5858,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,235.094428652,[M-H]-,158.2,32859911.0,Predicted,AllCCS
5859,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,257.076370652,[M+Na-2H]-,159.7,32859911.0,Predicted,AllCCS
5860,YMDB00696,HMDB0006239,KALYVIJGKPJBQV-UHFFFAOYSA-N,S-aminomethyldihydrolipoamide,C9H20N2OS2,281.099905652,[M+HCOO]-,161.4,32859911.0,Predicted,AllCCS
5861,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,206.066781487,[M+H]+,144.7,31661259.0,Predicted,DarkChem
5862,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,204.052229487,[M-H]-,138.6,31661259.0,Predicted,DarkChem
5863,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,206.066781487,[M+H]+,143.7,32859911.0,Predicted,AllCCS
5864,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,204.052229487,[M-H]-,150.1,32859911.0,Predicted,AllCCS
5865,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,206.066781487,[M+H]+,147.4,30932474.0,Predicted,DeepCCS
5866,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,204.052229487,[M-H]-,144.8,30932474.0,Predicted,DeepCCS
5867,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,102.0261147435,[M-2H]-,180.8,30932474.0,Predicted,DeepCCS
5868,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,228.048723487,[M+Na]+,156.1,30932474.0,Predicted,DeepCCS
5870,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,188.056216487,[M+H-H2O]+,139.9,32859911.0,Predicted,AllCCS
5871,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,223.093328487,[M+NH4]+,147.3,32859911.0,Predicted,AllCCS
5872,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,228.048723487,[M+Na]+,148.3,32859911.0,Predicted,AllCCS
5874,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,226.034171487,[M+Na-2H]-,151.4,32859911.0,Predicted,AllCCS
5875,YMDB00697,HMDB00962,FCCDDURTIIUXBY-UHFFFAOYSA-N,Lipoamide,C8H15NOS2,250.057706487,[M+HCOO]-,153.0,32859911.0,Predicted,AllCCS
5876,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,152.05668580699998,[M+H]+,131.5,31661259.0,Predicted,DarkChem
5877,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,150.042133807,[M-H]-,130.7,31661259.0,Predicted,DarkChem
5878,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,152.05668580699998,[M+H]+,132.2,32859911.0,Predicted,AllCCS
5879,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,150.042133807,[M-H]-,126.3,32859911.0,Predicted,AllCCS
5881,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,150.042133807,[M-H]-,127.7,30932474.0,Predicted,DeepCCS
5882,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,75.0210669035,[M-2H]-,164.8,30932474.0,Predicted,DeepCCS
5883,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,174.03862780699998,[M+Na]+,140.1,30932474.0,Predicted,DeepCCS
5885,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,134.046120807,[M+H-H2O]+,127.6,32859911.0,Predicted,AllCCS
5886,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,169.083232807,[M+NH4]+,136.6,32859911.0,Predicted,AllCCS
5887,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,174.03862780699998,[M+Na]+,137.9,32859911.0,Predicted,AllCCS
5889,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,172.02407580699995,[M+Na-2H]-,127.2,32859911.0,Predicted,AllCCS
5890,YMDB00698,HMDB00132,UYTPUPDQBNUYGX-UHFFFAOYSA-N,Guanine,C5H5N5O,196.047610807,[M+HCOO]-,128.2,32859911.0,Predicted,AllCCS
5891,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,492.008106537,[M+H]+,201.6,31661259.0,Predicted,DarkChem
5892,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,489.993554537,[M-H]-,195.7,31661259.0,Predicted,DarkChem
5893,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,492.008106537,[M+H]+,196.5,32859911.0,Predicted,AllCCS
5894,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,489.993554537,[M-H]-,188.1,32859911.0,Predicted,AllCCS
5895,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,492.008106537,[M+H]+,157.6,30932474.0,Predicted,DeepCCS
5896,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,489.993554537,[M-H]-,155.2,30932474.0,Predicted,DeepCCS
5897,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,244.9967772685,[M-2H]-,188.4,30932474.0,Predicted,DeepCCS
5898,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,513.990048537,[M+Na]+,164.7,30932474.0,Predicted,DeepCCS
5900,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,473.997541537,[M+H-H2O]+,194.6,32859911.0,Predicted,AllCCS
5901,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,509.034653537,[M+NH4]+,198.2,32859911.0,Predicted,AllCCS
5902,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,513.990048537,[M+Na]+,198.7,32859911.0,Predicted,AllCCS
5904,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,511.975496537,[M+Na-2H]-,188.3,32859911.0,Predicted,AllCCS
5905,YMDB00700,HMDB01532,SUYVUBYJARFZHO-RRKCRQDMSA-N,Deoxyadenosine triphosphate,C10H16N5O12P3,535.9990315370001,[M+HCOO]-,188.7,32859911.0,Predicted,AllCCS
5907,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,142.097487989,[M+H]+,129.7,31661259.0,Predicted,DarkChem
5908,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,140.08293598900002,[M-H]-,126.3,31661259.0,Predicted,DarkChem
5909,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,142.097487989,[M+H]+,127.9,30932474.0,Predicted,DeepCCS
5910,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,140.08293598900002,[M-H]-,124.5,30932474.0,Predicted,DeepCCS
5911,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,70.04146799450001,[M-2H]-,161.8,30932474.0,Predicted,DeepCCS
5912,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,164.079429989,[M+Na]+,137.0,30932474.0,Predicted,DeepCCS
5913,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,142.097487989,[M+H]+,131.8,32859911.0,Predicted,AllCCS
5914,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,124.08692298900002,[M+H-H2O]+,127.4,32859911.0,Predicted,AllCCS
5915,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,159.12403498900002,[M+NH4]+,135.9,32859911.0,Predicted,AllCCS
5916,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,164.079429989,[M+Na]+,137.1,32859911.0,Predicted,AllCCS
5917,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,140.08293598900002,[M-H]-,128.4,32859911.0,Predicted,AllCCS
5918,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,162.06487798900002,[M+Na-2H]-,130.1,32859911.0,Predicted,AllCCS
5919,YMDB00702,HMDB03431,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-Histidinol,C6H11N3O,186.088412989,[M+HCOO]-,132.1,32859911.0,Predicted,AllCCS
5920,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,170.09240261099998,[M+H]+,137.4,31661259.0,Predicted,DarkChem
5921,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,168.077850611,[M-H]-,132.7,31661259.0,Predicted,DarkChem
5922,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,170.09240261099998,[M+H]+,137.9,32859911.0,Predicted,AllCCS
5923,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,168.077850611,[M-H]-,134.4,32859911.0,Predicted,AllCCS
5924,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,170.09240261099998,[M+H]+,131.1,30932474.0,Predicted,DeepCCS
5925,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,168.077850611,[M-H]-,128.5,30932474.0,Predicted,DeepCCS
5926,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,84.0389253055,[M-2H]-,164.5,30932474.0,Predicted,DeepCCS
5927,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,192.074344611,[M+Na]+,139.3,30932474.0,Predicted,DeepCCS
5929,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,152.081837611,[M+H-H2O]+,133.7,32859911.0,Predicted,AllCCS
5930,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,187.118949611,[M+NH4]+,141.9,32859911.0,Predicted,AllCCS
5931,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,192.074344611,[M+Na]+,143.0,32859911.0,Predicted,AllCCS
5933,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,190.059792611,[M+Na-2H]-,135.6,32859911.0,Predicted,AllCCS
5934,YMDB00703,HMDB00479,JDHILDINMRGULE-LURJTMIESA-N,Methylhistidine,C7H11N3O2,214.083327611,[M+HCOO]-,136.9,32859911.0,Predicted,AllCCS
5936,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,144.04776060499998,[M+H]+,126.8,31661259.0,Predicted,DarkChem
5937,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,142.033208605,[M-H]-,123.2,31661259.0,Predicted,DarkChem
5938,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,144.04776060499998,[M+H]+,133.3,30932474.0,Predicted,DeepCCS
5939,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,142.033208605,[M-H]-,130.0,30932474.0,Predicted,DeepCCS
5940,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,71.0166043025,[M-2H]-,167.0,30932474.0,Predicted,DeepCCS
5941,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,166.02970260499998,[M+Na]+,142.0,30932474.0,Predicted,DeepCCS
5942,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,144.04776060499998,[M+H]+,128.7,32859911.0,Predicted,AllCCS
5943,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,126.037195605,[M+H-H2O]+,124.1,32859911.0,Predicted,AllCCS
5944,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,161.074307605,[M+NH4]+,132.9,32859911.0,Predicted,AllCCS
5945,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,166.02970260499998,[M+Na]+,134.1,32859911.0,Predicted,AllCCS
5946,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,142.033208605,[M-H]-,130.6,32859911.0,Predicted,AllCCS
5947,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,164.01515060499997,[M+Na-2H]-,132.8,32859911.0,Predicted,AllCCS
5948,YMDB00706,HMDB0032985,BKAWJIRCKVUVED-UHFFFAOYSA-N,5-(2-Hydroxyethyl)-4-methylthiazole,C6H9NOS,188.038685605,[M+HCOO]-,135.2,32859911.0,Predicted,AllCCS
5949,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,149.080834872,[M+H]+,133.5,31661259.0,Predicted,DarkChem
5950,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,147.06628287200002,[M-H]-,128.0,31661259.0,Predicted,DarkChem
5951,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,149.080834872,[M+H]+,134.0,32859911.0,Predicted,AllCCS
5952,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,147.06628287200002,[M-H]-,130.3,32859911.0,Predicted,AllCCS
5953,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,149.080834872,[M+H]+,126.8,30932474.0,Predicted,DeepCCS
5954,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,147.06628287200002,[M-H]-,123.0,30932474.0,Predicted,DeepCCS
5955,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,73.53314143600001,[M-2H]-,159.8,30932474.0,Predicted,DeepCCS
5956,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,171.062776872,[M+Na]+,135.4,30932474.0,Predicted,DeepCCS
5958,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,131.070269872,[M+H-H2O]+,130.0,32859911.0,Predicted,AllCCS
5959,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,166.10738187200002,[M+NH4]+,137.7,32859911.0,Predicted,AllCCS
5960,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,171.062776872,[M+Na]+,138.8,32859911.0,Predicted,AllCCS
5962,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,169.048224872,[M+Na-2H]-,132.7,32859911.0,Predicted,AllCCS
5963,YMDB00707,HMDB00227,KJTLQQUUPVSXIM-ZCFIWIBFSA-N,Mevalonic acid,C6H12O4,193.071759872,[M+HCOO]-,135.3,32859911.0,Predicted,AllCCS
5966,YMDB00711,HMDB01059,CIPFCGZLFXVXBG-CNWJWELYSA-N,"myo-Inositol 1,3,4,5-tetrakisphosphate",C6H16O18P4,500.935985756,[M+H]+,173.0,30932474.0,Predicted,DeepCCS
5967,YMDB00711,HMDB01059,CIPFCGZLFXVXBG-CNWJWELYSA-N,"myo-Inositol 1,3,4,5-tetrakisphosphate",C6H16O18P4,498.921433756,[M-H]-,171.1,30932474.0,Predicted,DeepCCS
5968,YMDB00711,HMDB01059,CIPFCGZLFXVXBG-CNWJWELYSA-N,"myo-Inositol 1,3,4,5-tetrakisphosphate",C6H16O18P4,249.460716878,[M-2H]-,204.4,30932474.0,Predicted,DeepCCS
