,index,HMDB,INCHIKEY,Name,Chemical Formula,m/z,Adduct Type,CCS Value (Å²),Reference,CCS Type,Data Source / Predictor
103,YMDB00131,HMDB00207,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,Oleic Acid (18:1),C18H34O2,281.2469,[M-H]-,175.6,"7, 8",Experimental,CCS Compendium
104,YMDB00137,HMDB01124,LABSPYBHMPDTEL-LIZSDCNHSA-N,Trehalose-6-phosphate,C12H23O14P,421.0747,[M-H]-,180.9,7,Experimental,CCS Compendium
105,YMDB00137,HMDB01124,LABSPYBHMPDTEL-LIZSDCNHSA-N,Trehalose-6-phosphate,C12H23O14P,445.0723,[M+Na]+,191.2,7,Experimental,CCS Compendium
106,YMDB00138,HMDB00229,DAYLJWODMCOQEW-TURQNECASA-N,Nicotinamide Mononucleotide,C11H15N2O8P,335.0628,[M+H]+,165.8,"7, 8",Experimental,CCS Compendium
107,YMDB00142,HMDB00225,FGSBNBBHOZHUBO-UHFFFAOYSA-N,Oxoadipate,C6H8O5,181.0113,[M+Na-2H]-,132.6,8,Experimental,CCS Compendium
108,YMDB00142,HMDB00225,FGSBNBBHOZHUBO-UHFFFAOYSA-N,Oxoadipate,C6H8O5,159.0292,[M-H]-,126.8,8,Experimental,CCS Compendium
109,YMDB00142,HMDB00225,FGSBNBBHOZHUBO-UHFFFAOYSA-N,Oxoadipate,C6H8O5,183.0261,[M+Na]+,137.5,8,Experimental,CCS Compendium
110,YMDB00146,HMDB00516,WQZGKKKJIJFFOK-VFUOTHLCSA-N,D-(+)-Glucose,C6H12O6,203.0532,[M+Na]+,146.8,7,Experimental,CCS Compendium
111,YMDB00150,HMDB01983,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-Deoxyadenosine,C10H13N5O3,250.0947,[M-H]-,154.9,8,Experimental,CCS Compendium
112,YMDB00150,HMDB01983,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-Deoxyadenosine,C10H13N5O3,252.108,[M+H]+,159.6,8,Experimental,CCS Compendium
113,YMDB00150,HMDB01983,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-Deoxyadenosine,C10H13N5O3,252.108,[M+H]+,152.3,"7, 8",Experimental,CCS Compendium
114,YMDB00150,HMDB01983,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-Deoxyadenosine,C10H13N5O3,274.0895,[M+Na]+,168.0,"7, 8",Experimental,CCS Compendium
115,YMDB00152,HMDB00883,KZSNJWFQEVHDMF-BYPYZUCNSA-N,L-Valine,C5H11NO2,116.0712,[M-H]-,124.9,8,Experimental,CCS Compendium
116,YMDB00152,HMDB00883,KZSNJWFQEVHDMF-BYPYZUCNSA-N,L-Valine,C5H11NO2,118.0868,[M+H]+,120.8,8,Experimental,CCS Compendium
117,YMDB00152,HMDB00883,KZSNJWFQEVHDMF-BYPYZUCNSA-N,L-Valine,C5H11NO2,140.0687,[M+Na]+,133.1,8,Experimental,CCS Compendium
118,YMDB00153,HMDB00208,KPGXRSRHYNQIFN-UHFFFAOYSA-N,alpha-Ketoglutaric Acid,C5H6O5,145.0137,[M-H]-,125.2,7,Experimental,CCS Compendium
119,YMDB00160,HMDB00125,RWSXRVCMGQZWBV-WDSKDSINSA-N,Glutathione (Reduced),C10H17N3O6S,328.0589,[M+Na-2H]-,164.8,8,Experimental,CCS Compendium
120,YMDB00160,HMDB00125,RWSXRVCMGQZWBV-WDSKDSINSA-N,Glutathione (Reduced),C10H17N3O6S,308.0911,[M+H]+,167.9,8,Experimental,CCS Compendium
121,YMDB00160,HMDB00125,RWSXRVCMGQZWBV-WDSKDSINSA-N,Glutathione (Reduced),C10H17N3O6S,306.0776,[M-H]-,162.8,"7, 8",Experimental,CCS Compendium
122,YMDB00160,HMDB00125,RWSXRVCMGQZWBV-WDSKDSINSA-N,Glutathione (Reduced),C10H17N3O6S,330.0712,[M+Na]+,167.1,"7, 8",Experimental,CCS Compendium
123,YMDB00162,HMDB01227,GYOZYWVXFNDGLU-XLPZGREQSA-N,Thymidine-5'-monophosphate,C10H15N2O8P,323.0644,[M+H]+,162.8,7,Experimental,CCS Compendium
124,YMDB00162,HMDB01227,GYOZYWVXFNDGLU-XLPZGREQSA-N,Thymidine-5'-monophosphate,C10H15N2O8P,343.0309,[M+Na-2H]-,167.7,8,Experimental,CCS Compendium
125,YMDB00162,HMDB01227,GYOZYWVXFNDGLU-XLPZGREQSA-N,Thymidine-5'-monophosphate,C10H15N2O8P,343.0318,[M+Na-2H]-,176.2,8,Experimental,CCS Compendium
126,YMDB00162,HMDB01227,GYOZYWVXFNDGLU-XLPZGREQSA-N,Thymidine-5'-monophosphate,C10H15N2O8P,345.0467,[M+Na]+,173.5,8,Experimental,CCS Compendium
127,YMDB00162,HMDB01227,GYOZYWVXFNDGLU-XLPZGREQSA-N,Thymidine-5'-monophosphate,C10H15N2O8P,321.0488,[M-H]-,163.8,"7, 8",Experimental,CCS Compendium
128,YMDB00169,HMDB0060484,RSTKLPZEZYGQPY-UHFFFAOYSA-N,Indole-3-pyruvate,C11H9NO3,202.0524,[M-H]-,137.8,8,Experimental,CCS Compendium
129,YMDB00173,HMDB00211,CDAISMWEOUEBRE-GPIVLXJGSA-N,Myoinositol,C6H12O6,179.0552,[M-H]-,131.5,8,Experimental,CCS Compendium
130,YMDB00173,HMDB00211,CDAISMWEOUEBRE-GPIVLXJGSA-N,Myoinositol,C6H12O6,203.0532,[M+Na]+,148.7,8,Experimental,CCS Compendium
131,YMDB00178,HMDB01173,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-Methylthioadenosine,C11H15N5O3S,298.0974,[M+H]+,162.0,8,Experimental,CCS Compendium
132,YMDB00178,HMDB01173,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-Methylthioadenosine,C11H15N5O3S,296.0817,[M-H]-,168.3,"7, 8",Experimental,CCS Compendium
133,YMDB00178,HMDB01173,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-Methylthioadenosine,C11H15N5O3S,298.0992,[M+H]+,171.0,"7, 8",Experimental,CCS Compendium
134,YMDB00178,HMDB01173,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-Methylthioadenosine,C11H15N5O3S,320.0793,[M+Na]+,173.5,"7, 8",Experimental,CCS Compendium
