Well	Plate_ID	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
F2	20241010_hplc_growth_experiment	1	0	0	1	0.13520000000000004	0.13520000000000004	0.3100333333333334	0.19707222222222226	
F3	20241010_hplc_growth_experiment	1	0	0	1	0.1422	0.13610000000000005	0.31323333333333336	0.19665555555555558	
F4	20241010_hplc_growth_experiment	1	0	0	1	0.13876666666666665	0.13526666666666665	0.29289999999999994	0.18864999999999998	
F5	20241010_hplc_growth_experiment	1	0	0	1	0.15863333333333332	0.15863333333333332	0.3316666666666667	0.22662222222222225	
F6	20241010_hplc_growth_experiment	1	0	0	1	0.15063333333333334	0.15063333333333334	0.3088666666666666	0.20918888888888892	
F7	20241010_hplc_growth_experiment	1	0	0	1	0.000633333333333333	0.000633333333333333	0.01846666666666666	0.012188888888888895	
F8	20241010_hplc_growth_experiment	1	0	0	1	0.15023333333333333	0.15023333333333333	0.29756666666666665	0.20482222222222224	
F9	20241010_hplc_growth_experiment	1	0	0	1	0.15483333333333332	0.15483333333333332	0.3462666666666666	0.2217722222222222	
F10	20241010_hplc_growth_experiment	1	0	0	1	0.13493333333333335	0.13493333333333335	0.3179666666666666	0.20819444444444446	
F11	20241010_hplc_growth_experiment	1	0	0	1	0.12813333333333338	0.12696666666666664	0.32886666666666664	0.18739444444444447	
F12	20241010_hplc_growth_experiment	1	0	0	1	0.013033333333333357	-0.013533333333333314	0.013033333333333357	-0.0017888888888888887	
G1	20241010_hplc_growth_experiment	1	0	0	1	0.017299999999999996	0.008500000000000008	0.039899999999999984	0.020166666666666666	
G2	20241010_hplc_growth_experiment	1	0	0	1	0.1532	0.1532	0.2986333333333333	0.19503333333333334	
G3	20241010_hplc_growth_experiment	1	0	0	1	0.1285	0.1234	0.2936333333333333	0.17208333333333337	
G4	20241010_hplc_growth_experiment	1	0	0	1	0.15139999999999998	0.14613333333333334	0.3215666666666667	0.1976666666666667	
G5	20241010_hplc_growth_experiment	1	0	0	1	0.1621	0.15329999999999994	0.3185	0.20409444444444444	
G6	20241010_hplc_growth_experiment	1	0	0	1	0.1602	0.1469	0.2633	0.1928277777777778	
G7	20241010_hplc_growth_experiment	1	0	0	1	-0.0058999999999999895	-0.021499999999999974	-0.0058999999999999895	-0.01748888888888889	
G8	20241010_hplc_growth_experiment	1	0	0	1	0.152	0.1384	0.2999000000000001	0.1931777777777778	
G9	20241010_hplc_growth_experiment	1	0	0	1	0.1509	0.1405	0.3197	0.1979777777777778	
G10	20241010_hplc_growth_experiment	1	0	0	1	0.13753333333333334	0.13753333333333334	0.3005	0.18698333333333336	
G11	20241010_hplc_growth_experiment	1	0	0	1	0.14243333333333336	0.14243333333333336	0.3249	0.21533333333333335	
G12	20241010_hplc_growth_experiment	1	0	0	1	-0.009566666666666654	-0.009566666666666654	0.006366666666666659	-0.001316666666666672	
H1	20241010_hplc_growth_experiment	1	0	0	1	-0.007099999999999995	-0.0207	0.0060999999999999934	-0.0027833333333333334	
H2	20241010_hplc_growth_experiment	1	0	0	1	0.15050000000000002	0.1486	0.2825333333333333	0.18905000000000005	
