Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Cytidine [[M+H]]	6.0	0.7857142857142857	8149.065753366622	11643.055555555557	0.9186746987951807
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]/Maltose [[M+Na]]	14.0	0.07142857142857142	1365.8072916666667	568.6924342105264	0.22797766749379653
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	13.0	0.14285714285714285	1365.8072916666667	568.6924342105264	0.35256410256410253
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-Fructose [[M+Na]]/D-Mannose [[M+Na]]	15.0	0.03571428571428571	537.0045466012182	127.57407407407408	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-Galactose [[M+Na]]	15.0	0.03571428571428571	675.0	147.55555555555557	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	D-Glucose [[M+Na]]	9.0	0.7857142857142857	1076.0	440.4303178484108	0.9186746987951807
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Deoxyadenosine [[M+H]]	3.0	0.25	133.16320199349494	249.20230263157896	0.46951219512195125
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Galactose [[M+Na]]	15.0	0.03571428571428571	690.0	147.55555555555557	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glucosamine [[M+H]]	6.0	0.7857142857142857	2578.491307916863	3761.1296296296296	0.9186746987951807
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutamic Acid [[M-H2O+H]]	0.0	0.03571428571428571	10758.645833333334	38943.90740740741	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Glutathione [[M+H]]	10.0	0.5714285714285714	34061.276041666664	30889.833333333336	0.7656695156695157
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Guanosine-5'-Diphosphate [[M+H]]	0.0	0.03571428571428571	224.5497131655013	1105.1296296296296	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Histidine [[M+H]]	15.0	0.03571428571428571	1335.0802469135804	136.31578947368422	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Imidazoleacetic acid [[M+H]]	0.0	0.03571428571428571	163.5843621399177	342.9194078947368	0.1510989010989011
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Indole-3-Ethanol [[M+H]]	5.0	0.5714285714285714	1032.0	2911.6200657894738	0.7656695156695157
Treatment=None, Supplement=None	Treatment=None, Supplement=PosHigh	Inositol [[M+Na]]	9.0	0.7857142857142857	1076.0	440.4303178484108	0.9186746987951807
