	0	1200	2400	3600	4800	6000	7200	8400	9600	10800	12000	13200	14400	15600	16800	18000	19200	20400	21600	22800	24000
D06	0.1654666666666667	0.17093333333333333	0.19033333333333333	0.21443333333333334	0.2609666666666667	0.32430000000000003	0.5406333333333334	1.1226333333333334	1.1654	0.7264999999999999	0.4107333333333334	0.4129666666666667	0.4329666666666667	0.47076666666666667	0.5038	0.5655333333333333	0.6015999999999999	0.6562	0.7093333333333334	0.7679666666666666	0.8151333333333334
D07	-0.003333333333333327	0.006033333333333335	0.013633333333333358	0.0054333333333333456	0.014066666666666672	0.002599999999999991	0.0036333333333333218	0.004433333333333345	0.007599999999999996	0.006099999999999994	0.005133333333333351	0.007466666666666649	0.0069666666666666766	0.007266666666666699	0.006800000000000028	0.008933333333333321	0.005399999999999988	0.004399999999999987	0.004533333333333334	0.0035666666666666347	0.004533333333333361
D08	0.15206666666666668	0.16333333333333333	0.18803333333333336	0.20533333333333334	0.2514666666666666	0.32330000000000003	0.7434333333333334	1.1900333333333335	1.0482	0.4742	0.35963333333333336	0.3798666666666667	0.4101666666666667	0.4401666666666667	0.4919	0.5237333333333333	0.5905999999999999	0.6197	0.6624333333333333	0.7450666666666667	0.8054333333333333
D09	0.15886666666666666	0.18883333333333335	0.21653333333333333	0.22853333333333334	0.2821666666666667	0.3467	0.7792333333333333	1.2074333333333334	1.1368	0.5005	0.4048333333333334	0.4109666666666667	0.4543666666666667	0.4683666666666667	0.5294	0.5734333333333332	0.6407999999999999	0.6877	0.7206333333333333	0.7995666666666666	0.8500333333333334
D10	0.14883333333333332	0.1604	0.17870000000000005	0.20203333333333334	0.2521	0.29346666666666665	0.634	1.1336666666666666	1.0794333333333332	0.48550000000000004	0.3873333333333334	0.3779666666666667	0.4134	0.4342666666666667	0.48173333333333335	0.5383	0.5945666666666667	0.6208	0.6856	0.7505666666666667	0.8195666666666667
D11	0.14803333333333335	0.15239999999999998	0.17380000000000004	0.20003333333333334	0.23029999999999998	0.2858666666666667	0.7258	1.0990666666666669	0.9132333333333335	0.4233	0.38683333333333336	0.3715666666666667	0.3802	0.4227666666666666	0.4782333333333333	0.522	0.5862666666666667	0.6509	0.6809	0.7136666666666667	0.8066666666666666
D12	0.009733333333333344	0.015600000000000003	0.0029000000000000414	-0.006566666666666665	0.0032999999999999974	-0.007633333333333325	-0.012399999999999994	-0.007833333333333303	-0.009966666666666651	-0.00739999999999999	-0.009866666666666635	-0.008933333333333321	-0.009999999999999981	-0.012233333333333318	-0.013366666666666666	-0.006099999999999994	-0.009133333333333327	-0.009399999999999992	-0.006099999999999994	-0.016233333333333322	-0.01373333333333332
E01	0.015700000000000006	0.022333333333333316	0.011800000000000005	-0.006133333333333324	-0.0043333333333333	0.0016666666666666774	0.0032666666666666677	-0.004433333333333317	-0.005833333333333329	-0.0010000000000000009	0.0001333333333333464	-0.003933333333333344	-0.0031000000000000194	-0.006233333333333341	-0.001600000000000018	-0.005466666666666675	-0.007099999999999995	-0.0013999999999999846	-0.006233333333333341	-0.0031333333333333213	-0.006766666666666643
E02	0.1456	0.14083333333333334	0.14859999999999998	0.1812666666666667	0.2207666666666667	0.3037666666666667	0.5655666666666667	1.0344666666666666	1.1773666666666667	0.9955	0.4337333333333334	0.4470666666666667	0.4105	0.4411666666666667	0.46299999999999997	0.5060333333333333	0.5662	0.6439	0.6872666666666667	0.7355666666666667	0.8146333333333334
E03	0.1502	0.1472333333333333	0.15059999999999998	0.18786666666666668	0.22346666666666667	0.25506666666666666	0.3413666666666667	0.49836666666666674	1.0655666666666666	1.2607	0.9373333333333334	0.4827666666666667	0.4061	0.45186666666666664	0.46429999999999993	0.5268333333333333	0.6052	0.6504	0.6950666666666667	0.7699666666666667	0.8377333333333333
E04	0.13926666666666665	0.1529	0.1543333333333333	0.2057	0.22929999999999998	0.32780000000000004	0.5694	0.9305666666666667	1.1110666666666666	0.7730333333333332	0.41816666666666663	0.36893333333333334	0.3902	0.4310333333333334	0.4552666666666666	0.5201	0.5624333333333333	0.6281333333333333	0.6906666666666668	0.7505666666666667	0.7878999999999999
E05	0.1655333333333333	0.17596666666666666	0.18003333333333332	0.1876	0.21746666666666667	0.2432666666666667	0.3189	0.46419999999999995	1.0266666666666666	1.2252333333333332	0.7751666666666667	0.4048333333333334	0.3756666666666667	0.4277000000000001	0.46463333333333334	0.5154000000000001	0.5648	0.6300666666666667	0.6792999999999999	0.7314333333333334	0.8077666666666666
