Group1	Group2	Feature	U_stat	p_raw	Median1	Median2	p_corrected	Significant
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Proline [[M+NH4]]	31.0	0.778865578865579	59.08893795821333	36.59470685249372	0.9315203315203314	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Spermine [[M+H]]	10.0	0.04009324009324009	22590.71776889223	77159.53279062908	0.16839160839160838	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Sucrose [[M+Na]]	32.0	0.6943278943278944	2151.7940730459713	2123.0	0.9177036073161138	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Thymine [[M+H]]	29.0	0.9550893550893552	160.50859566125143	164.09862590400428	0.9880846197827328	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Trehalose [[M+Na]]	34.0	0.5358197358197359	2170.4688693859107	2123.0	0.7906961506961507	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	Xanthurenic acid [[M+H]]	11.0	0.054079254079254076	106.77097794650204	174.15697801378673	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	d-Desthiobiotin [[M+H]]	11.0	0.054079254079254076	530.2656372642065	855.7057812206339	0.18927738927738927	False
Treatment=None, Supplement=None	Treatment=None, Supplement=NegHigh	gamma-Glutamylcysteine [[M+H]]	24.0	0.6943278943278944	671.4239884844089	725.5371830699515	0.9177036073161138	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	2'-Deoxyguanosine-5'-Diphosphate [[M+H]]/Adenosine 5'-diphosphate (ADP) [[M+H]]	20.0	1.0	679.2726452880379	780.358450362515	1.0	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	2'-Deoxyguanosine-5'-Monophosphate [[M+H]]	40.0	0.001554001554001554	1078.5252563499432	392.5511353647302	0.02121212121212121	True
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	2'-Deoxyuridine [[M+Na]]	34.0	0.04506604506604507	808.9001538189361	390.228875739645	0.1864095500459137	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Acetyl coenzyme A (Acetyl-CoA) [[M+H]]	29.0	0.2222222222222222	309.1434791484937	130.3845126835781	0.5001420454545453	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Ademetionine [[M+H]]	31.0	0.12742812742812742	206.314789088377	41.01096285193951	0.3524152415241524	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Adenine [[M+H]]	32.0	0.09324009324009325	4290.596887436229	3212.525423401928	0.28471380471380475	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Adenosine phosphate [[M+H]]	35.0	0.029526029526029528	21361.523100848877	15261.335996671743	0.13662044170518747	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Adenosine-3'-5'-Diphosphate [[M+H]]	20.0	1.0	557.3141053641052	780.358450362515	1.0	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Aminoadipate [[M+Na]]	29.0	0.2222222222222222	135.5732393667068	60.548762001010616	0.5001420454545453	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Argininosuccinic acid [[M+H]]	36.0	0.018648018648018648	548.8686046442713	18.97528146778152	0.11063576945929887	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Cytidine [[M+H]]	32.0	0.09324009324009325	278.261558767553	68.8021301775148	0.28471380471380475	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	D-(+)-Melibiose [[M+Na]]/Isomaltose [[M+Na]]	18.0	0.8329448329448329	2217.6945238359976	2269.9180455833643	0.9592969696969695	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	D-(+)-Turanose [[M+Na]]/Palatinose [[M+Na]]	20.0	1.0	2253.086430221082	2276.4407985879143	1.0	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Deoxyadenosine [[M+H]]	12.0	0.28438228438228436	26.52550700701916	68.27692307692308	0.5506125080593165	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Glucosamine [[M+H]]	30.0	0.17094017094017094	2526.432573875492	1751.6556704945815	0.42042042042042044	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Glutamic Acid [[M-H2O+H]]	23.0	0.7241647241647241	7301.7095020673005	6993.946510980761	0.9177036073161138	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Glutathione [[M+H]]	39.0	0.003108003108003108	35665.53359181797	16017.4099015575	0.03535353535353535	True
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Histidine [[M+H]]	14.0	0.43512043512043513	118.32111499898444	308.821775147929	0.6931731104144897	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	Imidazoleacetic acid [[M+H]]	21.0	0.9432789432789432	93.38759981672787	111.96061415220294	0.9880846197827328	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	L-Arginine [[M+H]]	30.0	0.17094017094017094	1972.0673533151923	1190.4672897196265	0.42042042042042044	False
Treatment=Yes, Supplement=None	Treatment=Yes, Supplement=PosLow	L-Citrulline [[M+H]]	16.0	0.6216006216006216	261.33580666235434	345.1129316952764	0.8702408702408702	False
